Date,Open,High,Low,Settle,Volume
15/01/2013,7720,7739,7636.5,7672.5,125273
16/01/2013,7674.5,7699,7646,7693.5,105568
17/01/2013,7676,7769,7664.5,7732,113734
18/01/2013,7743.5,7756.5,7706.5,7718,107262
21/01/2013,7723.5,7762,7721,7749,40617
22/01/2013,7741.5,7750.5,7633,7706.5,138238
23/01/2013,7713.5,7735,7687,7714,91941
24/01/2013,7705,7759.5,7661.5,7751.5,114709
25/01/2013,7741.5,7878,7740.5,7852.5,120327
28/01/2013,7883,7888,7833,7837,81672
29/01/2013,7850,7859.5,7801.5,7855.5,88875
30/01/2013,7858,7869,7774.5,7807.5,99893
